Column1	Column2
1987	 thơ_văn yêu nước và cách_mạng , đẩu thề kỷ xx , ( 1900 1930 ) . in lần thứ 1 . 
1987	chuyện chị tham_mưu trưỏmg : tập truyện_ngắn
1987	cẩm_nang gia_chánh làm bep .
1987	 tiểu_truyện danh_nhân : nguyễn thái học , nguyễn thị giang , nguyễn khắc nhu , lê hữu cảnh . 
1987	 tư mâ quang , vương an thạch : tiểu_truyện danh_nhân . saigon , phạm quang khai [ 196 ] ds734 . 9 . 
1987	 mien nam việt nam đẫt nước , con_người . v . [ 2 ] 
1987	con đường cách_mạng của chúng_ta là con đường tât thắng .
1987	con đường giải_phóng : hổi kỷ
1987	con đường hợp_tác hỏa nông_nghiệp ồr miển nam
1987	con đường sáng : tập truyện_ngắn [ của ] nhiểu tác_giả
1987	con đường vé vang : truyện_ngắn và ký_sự
1987	xuân_thu tam truyện . chun chiu xan chuan . biên_dịch hoàng khôi . in lần thứ 1 .
1987	công_cuộc cải tien dân_sinh cho đổng bào thượng sau 5 năm chẫp chánh của ngô tổng thông .
1987	 cuộc diễu_binh hùng_vĩ : tập thơ viet vể các liệt_sĩ , anh_hùng , chiên sĩ thi_đua trẻ tuổi ồr hai miẽn nam bắc . 
1987	30 4 1975
1987	cuộc họp_mặt các chiẽn sĩ trần quồc toán
1987	 cuộc kháng chiền chồng mỹ , cứu nước , 1954 1975 ; những sự_kiện quân_sự [ của ] học_viện quân_sự cao cầp . bán tổng kềt kinh_nghiệm chiền tranh . 
1987	 cuộc khỏi nghĩa trà bông và miền tây quáng ngãi ; chủ_biên , phạm thanh biển , nguyễn hữu nghĩa ; nghiên_cứu , tham_gia ý kiền , võ nghi ... [ and others ] . 
1987	 cuộc tổng_công_kích , tổng khỏi nghĩa của việt_cộng mậu thân , 1968 ; chù biên , phạm văn sơn ; soạn tháo , lê văn dương ; hình_ảnh , nguyễn ngọc hạnh ; thực_hiện , trung_tâm ẵn loát ẵn phằm . 
1987	 cuộc vận_động cách_mạng tháng tám ờ hà_nội ( cuôi năm 1939 đầu năm 1946 ) . in lần thứ 2 , có sứa chữa và bổ_sung . 
1987	damamủkanidàna sùtra
1987	 dân_ca cao luận [ của ] phương bằng , sưu_tầm và dịch . 
1987	 dân_ca miền nam_trung_bộ [ của ] trần việt ngũ , trương đình quang , hoàng chương , sưu tẩm và giới_thiệu , 
1987	 dân_ca thái : hai trăm lẻ sáu bài dân thái vê ' tình_yêu [ cúa ] mạc phi , sưu_tầm , dịch , giới_thiệu . 
1987	danh_từ khoa_học
1987	đàm_thoại độc_thoại : khu rửng lau .
1987	truyện_cổ dao .
1987	truyện cố dân_tộc mèo .
